koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_steff,koi_srad,koi_kepmag
CONFIRMED,9.48803557,170.53875,2.9575,6.16E+02,2.26,35.8,5455,0.927,15.347
CONFIRMED,54.4183827,162.51384,4.507,8.75E+02,2.83,25.8,5455,0.927,15.347
CANDIDATE,19.89913995,175.850252,1.7822,1.08E+04,14.6,76.3,5853,0.868,15.436
FALSE POSITIVE,1.736952453,170.307565,2.40641,8.08E+03,33.46,505.6,5805,0.791,15.597
CONFIRMED,2.525591777,171.59555,1.6545,6.03E+02,2.75,40.9,6031,1.046,15.509
CONFIRMED,11.09432054,171.20116,4.5945,1.52E+03,3.9,66.5,6046,0.972,15.714
CONFIRMED,4.13443512,172.97937,3.1402,6.86E+02,2.77,40.2,6046,0.972,15.714
CONFIRMED,2.56658897,179.55437,2.429,2.27E+02,1.59,15,6046,0.972,15.714
FALSE POSITIVE,7.36178958,132.25053,5.022,2.34E+02,39.21,47.7,6227,1.958,12.66
CONFIRMED,16.06864674,173.621937,3.5347,4.91E+03,5.76,161.9,5031,0.848,15.841
CONFIRMED,2.470613377,122.763305,1.74319,1.42E+04,13.04,4304.3,5820,0.964,11.338
CONFIRMED,2.204735417,121.3585417,3.88864,6.67E+03,16.1,5945.9,6440,1.952,10.463
CONFIRMED,3.522498429,121.1194228,3.19843,9.15E+03,14.59,1741.5,6225,1.451,13.563
CONFIRMED,3.709214104,133.98318,2.6302,1.31E+02,1.16,50.6,5833,1.022,12.772
FALSE POSITIVE,11.52144606,170.839688,3.6399,1.80E+04,150.51,622.1,5795,0.848,15.472
FALSE POSITIVE,19.40393776,172.484253,12.2155,8.92E+03,7.18,214.7,5043,0.68,15.487
FALSE POSITIVE,19.22138894,184.5521637,4.79843,7.43E+04,49.29,2317,6117,0.947,15.341
FALSE POSITIVE,16.46983774,180.881761,9.4378,1.05E+04,7.94,303.4,5152,0.786,15.788
CONFIRMED,9.27358173,173.258155,3.2875,1.29E+03,2.47,87.2,4856,0.696,15.302
CONFIRMED,6.02930329,171.602959,1.5821,1.91E+03,2.85,65.4,4537,0.672,15.784
FALSE POSITIVE,2.696370652,170.73769,3.6129,3.98E+02,1.58,48.2,4989,0.819,15.269
CONFIRMED,5.349553819,171.80694,3.0278,8.31E+02,2.55,60.6,5185,0.91,15.416
CONFIRMED,3.94105221,136.08662,2.5984,3.63E+02,1.7,28.9,5185,0.91,15.416
CONFIRMED,8.10904807,132.8031,3.596,2.17E+02,1.3,14.1,5185,0.91,15.416
FALSE POSITIVE,386.6030528,166.342079,6.8057,2.49E+04,41.5,994,5543,1.58,12.394
CONFIRMED,21.67699193,171.53594,3.4555,8.57E+02,2.95,34.3,4954,0.828,15.377
CONFIRMED,4.99677968,171.74208,2.1717,9.35E+02,2.78,28.2,5339,0.847,15.861
CONFIRMED,4.280963604,171.89659,2.875,7.51E+02,2.3,61.8,5644,0.831,15.356
FALSE POSITIVE,1.50635409,170.998064,1.5155,2.21E+03,4.53,181.1,5714,0.831,15.525
FALSE POSITIVE,670.645531,209.04355,53.412,1.81E+04,14.14,642.7,5520,0.983,15.207
FALSE POSITIVE,61.2563628,173.83826,7.633,5.12E+03,39.87,85.3,6144,1.091,15.25
CONFIRMED,38.3775486,172.82048,5.588,7.24E+02,2.82,34.7,5481,1.036,15.172
CONFIRMED,41.19725502,165.00404,4.6297,2.21E+03,3.86,51.2,5031,0.848,15.841
CONFIRMED,6.252962249,171.30126,2.5819,1.04E+03,2.65,47.1,5031,0.848,15.841
CONFIRMED,16.01308419,176.3608,3.2554,1.12E+03,3.1,33.2,5015,0.826,15.39
CONFIRMED,32.62876672,194.1019,4.7971,1.80E+03,3.36,80,5586,0.798,15.082
CONFIRMED,91.7732862,193.8378,6.473,6.52E+02,2.12,19.1,5586,0.798,15.082
CONFIRMED,4.959319244,172.2585292,2.22739,9.80E+03,12.21,696.5,5712,1.082,15.263
FALSE POSITIVE,2.701287801,170.69579,3.3827,8.60E+02,6.54,48.3,5550,0.91,15.54
CONFIRMED,4.49876511,171.34905,3.7362,4.60E+02,2.1,29.5,6075,0.969,15.395
FALSE POSITIVE,19.65120951,179.401981,5.2514,1.18E+04,12.42,513.4,6074,1.063,15.536
CONFIRMED,5.412203927,133.143089,2.9472,6.02E+02,2.94,166.7,5779,1.087,12.791
CONFIRMED,41.43958662,208.93203,10.5989,2.79E+03,5.5,141.1,5468,1.046,15.4
CONFIRMED,8.35389523,171.63257,2.2514,1.04E+03,2.52,43.4,5592,0.787,15.317
CONFIRMED,4.125543472,169.752585,3.1744,1.49E+03,4.43,128.6,6174,1.103,15.506
CONFIRMED,2.816504904,170.9676846,2.50587,1.68E+04,12.21,1406.8,5532,0.955,15.052
FALSE POSITIVE,33.93373447,186.67608,14.561,8.50E+03,7.34,236.1,5040,0.705,15.716
CONFIRMED,3.689920099,170.36571,2.6557,4.27E+02,1.89,35.6,5880,0.917,15.242
CONFIRMED,4.431238488,171.015,3.15,1.01E+03,3.25,71.1,5714,1.015,15.367
CONFIRMED,11.37936986,133.84992,2.6255,1.02E+03,3.95,37.9,5714,1.015,15.367
CONFIRMED,26.39432897,176.05459,3.573,1.51E+03,3.07,48.2,5129,0.763,15.234
CONFIRMED,13.57078281,136.279194,3.3539,5.12E+02,2.64,88.4,5854,1.012,12.882
CONFIRMED,7.12594387,139.00492,3.0014,1.92E+02,1.79,47.1,5779,1.087,12.791
FALSE POSITIVE,7.442652004,169.9717797,2.3078,2.44E+04,15.03,835.6,6108,0.956,15.27
CONFIRMED,16.38489988,172.72782,3.0249,1.13E+03,2,28.9,4126,0.615,15.095
CONFIRMED,7.8774163,176.3759,2.0805,1.31E+03,2.16,38.7,4126,0.615,15.095
CONFIRMED,36.4454001,151.60125,4.007,1.12E+03,1.99,21.7,4126,0.615,15.095
CONFIRMED,3.728732147,171.793255,2.683,5.23E+03,6.02,345.2,5497,0.809,15.523
CANDIDATE,40.4195037,173.56469,3.362,6.26E+03,7.51,36.9,5446,0.781,15.487
CONFIRMED,2.243380573,170.679233,1.1196,8.22E+02,1.99,38.9,4149,0.564,15.135
FALSE POSITIVE,10.40599802,177.197466,6.5036,1.45E+04,11.23,745.2,5746,0.924,15.562
CONFIRMED,2.337437946,171.761982,1.9982,9.71E+02,2.34,82.4,5005,0.765,15.334
CANDIDATE,7.2406612,137.75545,0.558,5.56E+02,19.45,13.7,5005,0.765,15.334
CANDIDATE,3.43591631,132.6624,3.133,2.32E+01,0.55,8.7,5779,1.087,12.791
CONFIRMED,11.59822233,180.395376,2.5237,2.80E+03,2.65,71,3688,0.473,15.937
CONFIRMED,6.575315881,173.634044,4.3084,2.79E+03,5.31,221.1,5992,0.989,15.312
CONFIRMED,7.275040844,169.994217,7.5377,3.00E+03,4.86,312.1,5485,0.867,15.08
CONFIRMED,19.27153892,186.77093,2.7594,1.22E+03,1.93,37.1,4077,0.56,15.385
CONFIRMED,10.06524317,136.28906,1.369,1.05E+03,1.91,30.3,4077,0.56,15.385
CONFIRMED,12.3935651,178.74725,3.8896,9.17E+02,2.66,35.8,5557,0.75,15.505
CONFIRMED,43.84439721,151.93538,6.802,6.15E+02,2.87,83.7,5854,1.012,12.882
FALSE POSITIVE,3.341913228,171.63943,3.813,7.25E+02,21.55,39,5295,0.811,15.629
FALSE POSITIVE,1.626630225,169.820171,2.1145,1.62E+03,32.43,103.6,5735,0.973,15.279
CONFIRMED,2.711504086,170.03417,3.0099,8.38E+02,3.12,64.5,6214,1.076,15.541
CONFIRMED,7.21203748,172.81782,4.0491,9.50E+02,3.32,51.5,6214,1.076,15.541
FALSE POSITIVE,14.1798187,171.50237,2.505,4.60E+02,1.88,11.2,5799,0.878,15.727
CONFIRMED,8.47237911,174.16212,2.7245,1.12E+03,2.59,47.6,5354,0.788,15.339
CONFIRMED,60.4189369,181.16367,5.039,9.31E+02,2.36,20.1,5354,0.788,15.339
CONFIRMED,12.61190435,180.892284,5.1497,6.11E+03,7.4,277.2,5795,0.919,15.14
FALSE POSITIVE,1.433769925,170.403536,1.8868,1.98E+03,46.58,112.6,6017,1.339,15.122
FALSE POSITIVE,10.31872301,173.31543,3.836,8.72E+02,28.59,38.2,5927,1.06,15.065
CONFIRMED,2.539183147,169.67494,2.4282,3.82E+02,2.06,38.9,5519,1.062,15.026
CONFIRMED,6.770300385,170.57662,2.0844,1.30E+03,2.77,50.8,5653,0.679,15.591
FALSE POSITIVE,0.444291966,169.865406,2.0792,1.10E+04,27.51,299.7,5255,0.636,15.748
CANDIDATE,10.181584,177.141891,3.5089,5.74E+03,7.73,183.6,5988,0.836,15.657
CONFIRMED,20.06036336,147.46554,3.3203,1.49E+03,1.96,35.2,3950,0.493,15.954
CONFIRMED,46.1842039,165.23729,4.758,1.39E+03,1.83,26,3950,0.493,15.954
CONFIRMED,23.9800854,147.537,5.351,1.04E+02,1.31,17.1,5854,1.012,12.882
CONFIRMED,7.82502168,136.54995,2.186,5.21E+02,1.2,15.9,3950,0.493,15.954
CONFIRMED,3.895936525,170.527552,2.3111,8.54E+03,7.34,370.8,5557,0.774,15.725
CONFIRMED,22.36646466,175.45862,5.228,9.87E+02,2.32,32.1,5395,0.734,15.583
CONFIRMED,1.625522174,170.8266564,2.38963,7.97E+03,9.73,799.7,5539,1.106,15.001
CANDIDATE,19.62034692,181.881819,2.0038,2.17E+04,13.6,340.5,5710,0.905,15.562
FALSE POSITIVE,7.544039,171.7982,6.222,3.23E+02,17.47,14.2,5657,0.824,15.559
CONFIRMED,9.02930689,177.20422,3.1449,1.02E+03,2.57,53.9,5349,0.82,15.387
FALSE POSITIVE,10.32803571,174.581054,7.7915,1.69E+04,13.28,636.8,5627,1.024,15.646
CONFIRMED,143.2063047,154.23552,8.9302,1.06E+04,8.9,138.8,5485,0.867,15.403
CONFIRMED,6.164876,135.63916,3.262,5.58E+01,0.79,14.4,5854,1.012,12.882
CONFIRMED,60.32494216,243.892578,6.6188,2.03E+04,12.19,347.2,5485,0.867,15.403
CONFIRMED,29.1598615,150.69922,4.803,4.88E+02,1.91,11.6,5485,0.867,15.403
FALSE POSITIVE,1.540397253,170.50479,2.1541,8.16E+02,25.69,38.8,5663,0.915,15.974
FALSE POSITIVE,2.99025443,171.9834,5.414,5.89E+02,1.7,48.5,4667,0.731,15.842
CONFIRMED,1.594745374,170.6483505,1.9604,1.50E+04,11.3,1009.3,5934,0.893,15.53
CONFIRMED,4.783002698,170.508434,2.335,1.01E+03,2.5,70.6,5170,0.807,15.119
CONFIRMED,20.50588921,181.43428,4.0595,2.11E+03,3.41,78.5,4905,0.761,15.398
CONFIRMED,3.340218842,171.979062,1.9104,1.63E+03,2.03,71.6,3950,0.493,15.954
FALSE POSITIVE,2.507089906,171.002455,2.0067,1.34E+03,30.26,64.9,5926,0.939,15.555
CONFIRMED,18.64932728,174.771,4.4056,8.94E+02,3.12,46.1,5775,1.053,15.386
CONFIRMED,4.90144976,138.60548,4.1654,1.41E+02,1.7,50.6,5847,1.402,12.487
CONFIRMED,9.75192101,138.78608,4.793,4.18E+02,2.76,28.5,5775,1.053,15.386
CONFIRMED,38.5576546,163.85063,5.794,9.93E+02,4.02,39.7,5775,1.053,15.386
CONFIRMED,3.525632539,170.0479951,2.59959,2.23E+04,11.58,1996.7,5150,0.793,15.224
CANDIDATE,34.84398644,172.633252,2.9315,4.52E+03,7.61,76.8,5509,0.871,15.684
CONFIRMED,7.748094239,174.997206,3.5957,2.47E+03,5.52,113.2,5973,1.085,15.67
CONFIRMED,23.96793669,186.22182,3.827,1.18E+03,1.8,27.5,3747,0.524,15.414
CONFIRMED,8.29561738,135.79284,1.3421,8.24E+02,1.82,17.9,3747,0.524,15.414
CONFIRMED,8.11437482,176.33968,2.2736,1.56E+03,2.1,56.4,3692,0.517,15.877
FALSE POSITIVE,38.03672948,196.934947,4.34617,8.29E+04,27.5,1300,5575,0.932,15.472
CANDIDATE,4.64090031,173.64638,35.512,2.45E+03,30.09,296.9,6463,0.826,15.27
FALSE POSITIVE,3.747838198,171.66504,5.0642,6.16E+02,13.65,138.2,5514,0.826,13.496
CONFIRMED,14.74914825,138.77799,6.0995,4.30E+02,2.89,107.4,5847,1.402,12.487
CONFIRMED,21.81295996,174.01085,4.3791,1.18E+03,3.38,37.8,5601,0.999,15.54
FALSE POSITIVE,7.91936937,172.181092,3.3148,1.51E+04,10.34,389,5690,0.776,15.805
CANDIDATE,1.028436523,170.228582,1.8606,8.10E+03,72.77,89.6,6228,0.99,15.202
CONFIRMED,15.37562369,173.61402,3.3169,1.53E+04,11.01,166,4986,0.833,16.422
CONFIRMED,8.10363271,176.9486,3.161,8.88E+02,2.11,39.3,4861,0.732,15.289
CONFIRMED,4.71510843,134.96178,2.506,4.18E+02,1.46,21.3,4861,0.732,15.289
CONFIRMED,6.365839713,171.13575,2.9721,7.81E+02,2.44,70.8,5776,0.849,15.09
FALSE POSITIVE,5.97581754,174.77602,3.065,9.62E+02,3.86,50.3,6108,0.997,15.546
FALSE POSITIVE,2.446737317,170.66951,4.7211,1.18E+03,26.25,110.2,5764,0.863,15.021
CONFIRMED,3.04033046,169.9490106,1.8411,1.09E+04,8.99,568.2,5035,0.791,15.028
CONFIRMED,15.33528675,174.00278,3.897,3.08E+03,5,86.6,5251,0.817,15.855
CONFIRMED,7.95825328,137.80219,4.377,5.00E+01,1.06,14.7,5847,1.402,12.487
CONFIRMED,31.33046135,153.43031,5.176,5.07E+03,6.5,117.2,5251,0.817,15.855
FALSE POSITIVE,3.9043425,173.393734,3.831,1.62E+04,12.28,323.4,5810,0.898,15.016
FALSE POSITIVE,9.286358079,171.8214689,3.49949,4.48E+04,17.61,1671.1,5670,0.821,15.365
FALSE POSITIVE,3.951405455,173.276125,2.1862,2.45E+03,31.44,117.2,6046,0.869,15.446
CONFIRMED,23.65369415,171.376107,8.2183,3.34E+03,7.89,266.3,5739,1.384,15.084
CONFIRMED,13.23352214,140.32196,6.7372,5.05E+02,3.06,49.1,5739,1.384,15.084
CONFIRMED,6.15560285,134.81656,4.9843,2.85E+02,2.32,35.1,5739,1.384,15.084
CONFIRMED,2.090811305,134.17462,3.388,1.16E+02,1.62,19.9,5739,1.384,15.084
CONFIRMED,3.180027898,133.49863,3.5797,1.20E+02,1.53,50.4,5847,1.402,12.487
CONFIRMED,50.4467417,178.5014,7.159,3.70E+02,2.67,19.4,5739,1.384,15.084
CONFIRMED,11.76307164,180.93613,2.9076,1.04E+03,2.35,48.9,4959,0.756,15.208
CONFIRMED,56.2279271,132.29259,3.57,8.63E+02,2.37,20.9,4959,0.756,15.208
FALSE POSITIVE,2.384052875,171.58362,3.0918,1.27E+03,17.06,50.5,4794,0.701,15.836
CONFIRMED,7.953547,174.66224,2.6312,8.75E+02,2.25,38.4,4768,0.779,15.66
CONFIRMED,4.14451656,135.92831,2.3421,3.92E+02,1.48,22.8,4768,0.779,15.66
FALSE POSITIVE,4.859386384,173.011469,2.2757,6.04E+03,38.33,269.7,6072,0.988,15.311
CONFIRMED,10.52629458,176.522462,2.5211,9.77E+03,8.24,482.3,5386,0.793,15.305
CONFIRMED,4.583520948,169.973972,2.7055,3.81E+03,5.39,99.5,5815,0.877,15.287
CONFIRMED,3.76181843,171.90364,3.5176,5.11E+02,2.66,35.9,5653,0.949,15.257
CONFIRMED,8.20396958,169.69138,2.9667,1.02E+03,3.01,54.4,5015,0.826,15.376
CONFIRMED,14.49645186,143.41659,4.016,6.48E+02,3.01,25.7,5015,0.826,15.376
CONFIRMED,6.54626149,133.85964,2.75,6.56E+02,2.19,24.8,5251,0.817,15.855
CONFIRMED,12.71809866,175.35526,3.0957,1.15E+03,2.31,52.7,4702,0.686,15.389
CONFIRMED,36.06588163,198.58423,4.3246,1.56E+03,2.64,51.7,4702,0.686,15.389
CONFIRMED,4.190425659,171.44122,2.8589,2.88E+03,6.21,240.6,6073,1.135,15.27
CONFIRMED,3.709870784,171.987982,3.0694,2.02E+03,4.35,116.1,5727,0.978,15.581
CONFIRMED,16.3297527,177.29506,6.271,1.19E+03,3.75,74.6,5878,0.987,15.447
CONFIRMED,27.80756622,186.713552,4.21587,2.54E+04,13.84,748.1,5862,0.785,15.482
CONFIRMED,80.8723469,203.895,11.195,3.60E+03,7.59,160.9,5510,1.238,15.201
FALSE POSITIVE,3.166465862,172.002627,2.9381,4.36E+03,26.82,122.1,4968,0.704,15.999
CONFIRMED,24.99324319,138.68167,5.9409,2.70E+02,2.29,62,5718,1.317,12.377
CONFIRMED,10.35533116,170.93729,3.1775,7.51E+02,2.47,49.2,5501,0.918,15.018
CONFIRMED,16.08518937,180.28319,3.984,1.44E+03,3.68,62.6,5239,0.826,15.219
CANDIDATE,235.9986399,208.399822,8.2284,2.07E+04,10.59,271.8,4245,0.657,15.172
CONFIRMED,7.49018305,174.95037,2.7297,1.12E+03,2.56,53,5103,0.787,15.599
CONFIRMED,36.2761238,201.2869,4.7865,1.57E+03,3.03,45.5,5103,0.787,15.599
CONFIRMED,17.46087931,137.26594,2.2641,8.12E+02,2.32,22.6,5103,0.787,15.599
CONFIRMED,56.0560754,201.16578,4.685,1.63E+03,1.94,27.4,3593,0.491,15.849
CONFIRMED,41.40831669,195.78745,5.0264,2.28E+04,11.38,907.8,5522,0.747,15.196
CANDIDATE,39.74893077,172.854644,7.3051,1.52E+04,14.21,561.1,6122,0.964,15.344
CONFIRMED,5.715425977,174.87931,2.5242,9.08E+02,2.47,59.4,5237,0.826,15.086
CONFIRMED,49.18394185,141.911924,11.3364,1.65E+03,8.2,355.7,5626,2.057,12.654
CONFIRMED,20.0261412,146.91109,1.611,4.21E+02,2.28,10.7,5237,0.826,15.086
